Character,Line,Season,Episode
Leslie Knope,How do we make this park happen?,1,1
Tom Haverford,Let's go to the city council directly and ask them to put up the money.,1,1
Leslie Knope,"No, parks are not a priority.",1,1
Leslie Knope,I need more firepower.,1,1
Leslie Knope,I need bigger guns.,1,1
Leslie Knope,You know what I need to do?,1,1
Leslie Knope,Form a committee.,1,1
Leslie Knope,Right?,1,1
Tom Haverford,"Yeah, that could work.",1,1
Leslie Knope,"Yeah, 'cause committees are power, and committees make things happen.",1,1
Leslie Knope,Committees are the lifeblood of our democratic system.,1,1
Leslie Knope,That's really good.,1,1
Leslie Knope,Write that down.,1,1
Tom Haverford,Yep.,1,1
Leslie Knope,"From time to time, when I think of an eloquent saying or a phrase, I have Tom write it down.",1,1
Leslie Knope,He's collecting them for my memoirs.,1,1
Tom Haverford,Here's Leslie's quote from Wednesday.,1,1
Leslie Knope,"Okay, read it back to me.",1,1
Tom Haverford,"Um ""Committees cover our democracy with blood.""",1,1
Leslie Knope,Hmm.,1,1
Leslie Knope,Sounded better when I said it.,1,1
Leslie Knope,"It's still good, though.",1,1
Leslie Knope,"Okay, I have an idea.",1,1
Leslie Knope,What about bringing Mark on board?,1,1
Tom Haverford,Which Mark?,1,1
Leslie Knope,Which Mark?,1,1
Leslie Knope,Mark Brendanawicz.,1,1
Leslie Knope,Which Mark?,1,1
Leslie Knope,"Well, if you want something done in this town, you call Mark Brendanawicz because, you know, he's a city planner, but he's more than that.",1,1
Leslie Knope,He's kind of like a fixer.,1,1
Leslie Knope,He fixes things.,1,1
Leslie Knope,"He's a smart, capable guy.",1,1
Leslie Knope,He just-- He knows where the bodies are buried.,1,1
Leslie Knope,"What's up, Brendanawicz?",1,1
Leslie Knope,You crazy old Polish person.,1,1
Leslie Knope,"City Hall is like a locker room, and you gotta get in there, and you gotta snap towels at people, and you gotta give them the business, and if you can't take it, you know, you... Then you can't take it.",1,1
Leslie Knope,You gotta leave the locker room.,1,1
Leslie Knope,Let's get down to brass tacks.,1,1
Leslie Knope,I know you don't have a lot of time and I want to thank you for meeting me today.,1,1
Mark Brendanawicz,I just work right there.,1,1
Leslie Knope,"Well, thank you for clearing your schedule.",1,1
Mark Brendanawicz,I didn't clear anything.,1,1
Leslie Knope,"You know this lot that I'm talking about, right?",1,1
Mark Brendanawicz,"Yeah, Lot 48.",1,1
Mark Brendanawicz,Condo developer.,1,1
Mark Brendanawicz,"He dug a basement, and then he went bankrupt.",1,1
Mark Brendanawicz,I checked it out like a month ago.,1,1
Mark Brendanawicz,It's pretty gross.,1,1
Leslie Knope,What would you say if I told you that I was thinking about turning it into a park?,1,1
Mark Brendanawicz,"A park, huh?",1,1
Mark Brendanawicz,Okay.,1,1
Mark Brendanawicz,"Well, when I think about the logistics, the various hoops that you're gonna have to jump through, I would say, is it likely?",1,1
Mark Brendanawicz,"No, it's not likely, you know.",1,1
Mark Brendanawicz,"But, is it possible?",1,1
Mark Brendanawicz,No.,1,1
Mark Brendanawicz,It's not possible.,1,1
Mark Brendanawicz,I would give up on that one.,1,1
Leslie Knope,What?,1,1
Leslie Knope,Why?,1,1
Mark Brendanawicz,Why?,1,1
Mark Brendanawicz,I don't know.,1,1
Mark Brendanawicz,There's like a million reasons why.,1,1
Mark Brendanawicz,"Homeowners' associations, anti-government nuts, bureaucrats, miles of red tape--",1,1
Leslie Knope,Really?,1,1
Leslie Knope,It sounds like you're telling me to go for it.,1,1
Mark Brendanawicz,There's no way it can happen.,1,1
Leslie Knope,I can do this.,1,1
Leslie Knope,I just need a little help.,1,1
Leslie Knope,"Could you do me a favor, for old times' sake?",1,1
Leslie Knope,Mark and I-- It's complicated.,1,1
Leslie Knope,"When you work closely with someone and you share similar interests and you have a similar world view and you're passionate about the same things, things can happen.",1,1
Leslie Knope,We slept together.,1,1
Mark Brendanawicz,Leslie?,1,1
Mark Brendanawicz,No.,1,1
Mark Brendanawicz,"Oh, my God.",1,1
Mark Brendanawicz,You know what?,1,1
Mark Brendanawicz,"Yeah, we did, like, five years ago.",1,1
Mark Brendanawicz,"I sort of-- No, but yeah.",1,1
Mark Brendanawicz,"Yeah, we did.",1,1
Ann Perkins,"Honey, can you straighten up your area a little bit?",1,1
Ann Perkins,'Cause they're gonna be here soon.,1,1
Ann Perkins,Can-- Thanks.,1,1
Ann Perkins,"That parks lady is coming over, and we're gonna go take a look at the pit.",1,1
Ann Perkins,I think it's probably just a photo op for her.,1,1
Ann Perkins,"I mean, I don't think anybody in government actually cares about--",1,1
Andy Dwyer,"Honey, do you mind doing that somewhere else?",1,1
Andy Dwyer,I'm trying to watch TV.,1,1
Ann Perkins,I'm talking about the pit you fell in.,1,1
Leslie Knope,It's Ms. Perkins' house.,1,1
Andy Dwyer,Doorbell!,1,1
Ann Perkins,"Yeah, I heard it.",1,1
Andy Dwyer,Doorbell!,1,1
Ann Perkins,I heard it.,1,1
Ann Perkins,I'm getting it.,1,1
Leslie Knope,I'm here.,1,1
Ann Perkins,Hey!,1,1
Ann Perkins,Wow!,1,1
Ann Perkins,Look at that.,1,1
Leslie Knope,Safety.,1,1
Leslie Knope,You remember Tom from last night.,1,1
Tom Haverford,"Hey, Ann, how are you?",1,1
Ann Perkins,"Yeah, hey.",1,1
Ann Perkins,Of course I do.,1,1
Leslie Knope,"And this is our college intern, April.",1,1
Leslie Knope,She's going to be documenting our fact finding mission.,1,1
Ann Perkins,"Hey, April.",1,1
April Ludgate,Hey.,1,1
Ann Perkins,Is this fun for you?,1,1
April Ludgate,"Yeah, it's so much fun.",1,1
Ann Perkins,I'm just gonna grab my phone quickly.,1,1
Ann Perkins,Sorry.,1,1
Leslie Knope,This must be our hero.,1,1
Leslie Knope,The man heard 'round the world.,1,1
Andy Dwyer,Uh-huh.,1,1
Leslie Knope,"How you doing, son?",1,1
Andy Dwyer,Pretty good.,1,1
Leslie Knope,I'm Leslie Knope.,1,1
Leslie Knope,And the entire government of Pawnee would like to let you know that we will do everything we can to help you.,1,1
Andy Dwyer,Could you pass me my itch stick?,1,1
Leslie Knope,Of course.,1,1
Ann Perkins,"So, Andy jumped over this fence.",1,1
Ann Perkins,"He was crossing through to get home, and then he fell right there.",1,1
Leslie Knope,"Oh, my God.",1,1
Leslie Knope,How did we let this happen?,1,1
Leslie Knope,"Dream with me for a second, Ann.",1,1
Leslie Knope,Doesn't this neighborhood deserve a first-class park?,1,1
Leslie Knope,"Imagine a shiny new playground with a jungle gym and swings, pool, tennis courts, volleyball courts, racquetball courts, basketball court, regulation football field.",1,1
Leslie Knope,We could put an amphitheatre over there with Shakespeare in the Park.,1,1
Ann Perkins,It's really not that big of a pit.,1,1
Leslie Knope,We could do some of those things.,1,1
Leslie Knope,It's gonna take a little extra work.,1,1
Leslie Knope,But why not try?,1,1
Ann Perkins,I think that would be great.,1,1
Leslie Knope,"Me, too.",1,1
Leslie Knope,I'm going in.,1,1
Ann Perkins,Why?,1,1
Leslie Knope,Don't worry.,1,1
Leslie Knope,I have a hard hat on.,1,1
Ann Perkins,"I can see that, but--",1,1
Leslie Knope,Yeah.,1,1
Leslie Knope,"April, document this.",1,1
April Ludgate,Document what?,1,1
Leslie Knope,"The key to any factfinding mission is to get right into the battle zone, you know?",1,1
Leslie Knope,It's like George Bush when he flew over New Orleans or Richard Nixon when he went to China to see what the Chinese were up to.,1,1
Leslie Knope,No!,1,1
Ann Perkins,"Leslie, are you okay?",1,1
Tom Haverford,Leslie!,1,1
Tom Haverford,"Hold on, April's gonna get some photos for the website.",1,1
April Ludgate,Could you just be still?,1,1
Tom Haverford,Don't move around as much.,1,1
Ann Perkins,"Okay, squeeze my fingers.",1,1
Ann Perkins,Good.,1,1
Ann Perkins,Does it hurt a lot?,1,1
Leslie Knope,No.,1,1
Leslie Knope,Mmmmmm.,1,1
Leslie Knope,I'm fine.,1,1
Ann Perkins,"No, you're not.",1,1
Leslie Knope,Good thing I was wearing that hard hat.,1,1
Ann Perkins,But it-- It fell off.,1,1
Leslie Knope,After my head hit that rod.,1,1
Ann Perkins,Wow.,1,1
Andy Dwyer,"I can't believe you fell in, too.",1,1
Andy Dwyer,That's awesome.,1,1
Ann Perkins,"It's not awesome, Andy.",1,1
Leslie Knope,"Well, at least my boss will listen to me now that I broke my clavicle.",1,1
Ann Perkins,It's not broken.,1,1
Leslie Knope,It is.,1,1
Leslie Knope,Do you have one of those neck foam collar brace things?,1,1
Ann Perkins,"Honestly, you're fine.",1,1
Leslie Knope,"Honestly, my clavicle's broken.",1,1
Andy Dwyer,"Oh, hey, baby, if you're going to the kitchen, could you make me pancakes real quick?",1,1
Ann Perkins,Sure.,1,1
Leslie Knope,Ooh!,1,1
Leslie Knope,Are pancakes being made?,1,1
Leslie Knope,Thank you.,1,1
Ann Perkins,Sure.,1,1
Ann Perkins,"I don't know, she's a little doofy, but she's sweet.",1,1
Leslie Knope,"Ron, please.",1,1
Ron Swanson,No.,1,1
Ron Swanson,No way.,1,1
Leslie Knope,"Come on, Ron.",1,1
Leslie Knope,I've been a loyal foot soldier.,1,1
Leslie Knope,Give me my shot.,1,1
Leslie Knope,Let me have Lot 48.,1,1
Ron Swanson,Is that a travel pillow around your neck?,1,1
Leslie Knope,"Ron, I don't know how to explain this to you.",1,1
Leslie Knope,When you've been down in the pit-- Have you been in the pit?,1,1
Ron Swanson,"No, I haven't gotten down there yet.",1,1
Leslie Knope,"Well, I have.",1,1
Ron Swanson,When you fell in.,1,1
Leslie Knope,When I visited the bottom of the pit on a fact finding mission.,1,1
Leslie Knope,"And when you're down there, you get some perspective about what it all means.",1,1
Leslie Knope,"And let me tell you something, Ron.",1,1
Leslie Knope,What it means is I want this subcommittee.,1,1
Ron Swanson,I've been quite open about this around the office.,1,1
Ron Swanson,I don't want this Parks Department to build any parks because I don't believe in government.,1,1
Ron Swanson,I think that all government is a waste of taxpayer money.,1,1
Ron Swanson,My dream is to have the park system privatized and run entirely for profit by corporations.,1,1
Ron Swanson,Like Chuck E. Cheese.,1,1
Ron Swanson,They have an impeccable business model.,1,1
Ron Swanson,I would rather work for Chuck E. Cheese.,1,1
Ron Swanson,"Well, I will definitely think about it.",1,1
Leslie Knope,I like the sound of that definitely.,1,1
Leslie Knope,I'm gonna leave before you change your mind.,1,1
Leslie Knope,"Mr. Swanson, I presume.",1,1
Leslie Knope,Lot 46 thoughts? Yes? No? Me? Park?,1,1
Leslie Knope,Giving the park to me?,1,1
Ron Swanson,Still mulling.,1,1
Ron Swanson,She's insatiable.,1,1
Ron Swanson,She's like a little dog with a chew toy.,1,1
Leslie Knope,"All right, you guys.",1,1
Leslie Knope,"All right, all right.",1,1
Leslie Knope,I'll ask him.,1,1
Leslie Knope,Everybody wants to know what your decision is.,1,1
Leslie Knope,Someone on the phone about the park.,1,1
Leslie Knope,"You know, I don't think I even want it.",1,1
Leslie Knope,Oh man.,1,1
Leslie Knope,My clavicle's still really hurting me.,1,1
Tom Haverford,Oh!,1,1
Tom Haverford,This is a great shot.,1,1
April Ludgate,I know.,1,1
Tom Haverford,That's awesome.,1,1
April Ludgate,I think she's crying in that one.,1,1
April Ludgate,Look at this one.,1,1
Mark Brendanawicz,"Hey, kids.",1,1
Tom Haverford,That's another good one.,1,1
April Ludgate,Hey.,1,1
Tom Haverford,"Hey, Brendanawicz.",1,1
Tom Haverford,You gotta come check this out.,1,1
Tom Haverford,"Leslie took us out to that pit in Lot 48, and she fell inside.",1,1
Tom Haverford,And we have some awesome photos.,1,1
April Ludgate,One.,1,1
Mark Brendanawicz,Is she okay?,1,1
Tom Haverford,"Yeah, she's fine.",1,1
Tom Haverford,Oh! This is a classic.,1,1
April Ludgate,That's the best one.,1,1
Tom Haverford,The up-skirt photo.,1,1
Tom Haverford,Awesome.,1,1
Tom Haverford,"Hey, man.",1,1
Tom Haverford,Give me the photo back.,1,1
Tom Haverford,What's going on?,1,1
April Ludgate,Don't worry.,1,1
April Ludgate,I can print more.,1,1
Mark Brendanawicz,Leslie is unique.,1,1
Mark Brendanawicz,Government work can beat you down.,1,1
Mark Brendanawicz,I would say that I lost my optimism about government in about two months.,1,1
Mark Brendanawicz,Leslie's kept hers for six years.,1,1
Mark Brendanawicz,"I've got a few rules about how to survive and prosper in a government job, and I think I'm about to break one of those rules.",1,1
Mark Brendanawicz,I want you to give Lot 48 to Leslie so she can try to build a park.,1,1
Ron Swanson,Why should I?,1,1
Mark Brendanawicz,"You owe me one, remember?",1,1
Ron Swanson,Do you want to cash in for this?,1,1
Mark Brendanawicz,"Yeah, I do.",1,1
Leslie Knope,"So this was built in 1935, it's called Pioneer Hall. And a little trivia, it is one of the first structures in America to ever have locks.",1,1
Ann Perkins,Wow!,1,1
Leslie Knope,"Oh, yeah.",1,1
Leslie Knope,This is our crown jewel.,1,1
Leslie Knope,It's one of our best murals.,1,1
Leslie Knope,It depicts the very famous battle at Conega Creek.,1,1
Leslie Knope,"We have a lot of children visit, so often we have to cover up the more gruesome parts with a poster.",1,1
Ann Perkins,That is horrifying.,1,1
Leslie Knope,"Yes, it is.",1,1
Leslie Knope,"So, what do you want to see? The DMV? Animal control? Or we could--",1,1
Tom Haverford,Leslie! We did it.,1,1
Tom Haverford,Ron's approved our committee.,1,1
Ann Perkins,"Oh, my God.",1,1
Leslie Knope,That's great!,1,1
Ann Perkins,That's so great.,1,1
Leslie Knope,That's so exciting! This is huge.,1,1
Leslie Knope,"I'm barely 34, and I've already landed a Parks Department exploratory subcommittee.",1,1
Leslie Knope,I'm a rocket ship.,1,1
Mark Brendanawicz,Leslie.,1,1
Mark Brendanawicz,I just heard the news.,1,1
Leslie Knope,Hey.,1,1
Leslie Knope,Isn't it great?,1,1
Mark Brendanawicz,Congratulations.,1,1
Leslie Knope,Thank you.,1,1
Leslie Knope,I'm so excited.,1,1
Leslie Knope,"It's exciting, isn't it?",1,1
Mark Brendanawicz,It is.,1,1
Leslie Knope,Yeah.,1,1
Leslie Knope,"Should I call a press conference now, or--",1,1
Tom Haverford,"Yeah, call one.",1,1
Tom Haverford,Definitely.,1,1
Mark Brendanawicz,I would.,1,1
Tom Haverford,"Every now and then we have these little gatherings, and Leslie gets plastered.",1,1
Tom Haverford,One time I convinced her to try to fax someone a Fruit Roll-Up.,1,1
Tom Haverford,She one time made out with the water delivery guy in her office.,1,1
Tom Haverford,"On Halloween, she was dressed up as Batman.",1,1
Tom Haverford,Not Batgirl.,1,1
Tom Haverford,Batman.,1,1
Tom Haverford,And I convinced her to go stop a crime that was going on outside.,1,1
Tom Haverford,And it is my favorite thing in the world.,1,1
Leslie Knope,You know what?,1,1
Leslie Knope,America is awesome.,1,1
Leslie Knope,It's so full of hope and small towns and big cities and real people and delicious beverages and hot guys.,1,1
Leslie Knope,You just never know when opportunity is gonna strike.,1,1
Ann Perkins,Yeah.,1,1
Leslie Knope,You gotta be ready for it.,1,1
Ann Perkins,Yeah.,1,1
Leslie Knope,Are you excited?,1,1
Ann Perkins,Definitely am.,1,1
Ann Perkins,Fired up.,1,1
Leslie Knope,Yeah!,1,1
Ann Perkins,I'm really fired up.,1,1
Ann Perkins,"You know they say that democracy or whatever only works when people get involved? Well, I'm getting involved.",1,1
Ann Perkins,So I am gonna make a vow now that I will do whatever it takes to get this pit filled in.,1,1
Ann Perkins,Even if it takes two months.,1,1
Leslie Knope,"Soul sista, soul sista Gonna get your phone, sista",1,1
Ann Perkins,Yeah.,1,1
Leslie Knope,Sweet Lady Marmalard,1,1
Ron Swanson,I've created this office as a symbol of how I feel about government.,1,1
Ron Swanson,This sawed-off shotgun belonged to a local bootlegger.,1,1
Ron Swanson,People who come in here to ask me for things have to stare right down the barrel.,1,1
Ron Swanson,Did you guys get a grant to do this? This is my basketball court.,1,1
Ron Swanson,I don't want to see any double dribble.,1,1
Ron Swanson,I don't want to see any three second violations.,1,1
Ron Swanson,Bobby Knight!,1,1
,,1,1
,Season: 1 Episode: 02,1,2
Leslie Knope,"Well, one of the funner things that we do here in Pawnee is the annual Easter egg hunt.",1,2
Leslie Knope,"Tom hides the eggs, and I have to say he did an exceptional job this year.",1,2
Leslie Knope,I've been searching for 25 minutes and I haven't found a single egg.,1,2
Leslie Knope,And I'm an adult.,1,2
Tom Haverford,Oh.,1,2
Tom Haverford,"Yeah, I forgot to do that.",1,2
Leslie Knope,Maybe Tom's trying to make this year a challenge.,1,2
Leslie Knope,"And if so, he's succeeding.",1,2
Leslie Knope,I don't think a single egg has been found yet.,1,2
Leslie Knope,Let's keep looking.,1,2
Leslie Knope,We're gonna find one.,1,2
Leslie Knope,I'm going to see my mom.,1,2
Leslie Knope,She's a big mucky-muck in the county school system.,1,2
Leslie Knope,She's my hero.,1,2
Leslie Knope,How do I explain her?,1,2
Leslie Knope,She's as respected as Mother Teresa.,1,2
Leslie Knope,"She's as powerful as Stalin, and she's as beautiful as Margaret Thatcher.",1,2
Marlene Griggs-Knope,"In or out, Leslie.",1,2
Marlene Griggs-Knope,Doorway is creepy.,1,2
Leslie Knope,"Right, sorry.",1,2
Leslie Knope,Choosing in.,1,2
Marlene Griggs-Knope,"So, what do you want, Leslie?",1,2
Leslie Knope,"Just here to gossip, gab, chat, stuff we do.",1,2
Leslie Knope,"But it looks like you're super busy, and I am super busy, so I shall bid you adieu.",1,2
Leslie Knope,Oh.,1,2
Leslie Knope,That's weird.,1,2
Leslie Knope,I just remembered something.,1,2
Leslie Knope,I have my own subcommittee now.,1,2
Leslie Knope,Yeah.,1,2
Leslie Knope,I'm sure you've heard something about it.,1,2
Leslie Knope,People are talking about it.,1,2
Marlene Griggs-Knope,No.,1,2
Leslie Knope,Oh.,1,2
Leslie Knope,Well.,1,2
Leslie Knope,"Anyway, we're having a town hall meeting tomorrow at 7:00 p.m. at the Smithfield Community Center.",1,2
Marlene Griggs-Knope,Mmm.,1,2
Leslie Knope,"Yeah, I'm leading it.",1,2
Leslie Knope,It's no biggie.,1,2
Leslie Knope,"I mean, it is.",1,2
Leslie Knope,It's a big deal.,1,2
Leslie Knope,"I mean, I don't know.",1,2
Leslie Knope,You know-- You want to come?,1,2
Marlene Griggs-Knope,Oh.,1,2
Marlene Griggs-Knope,"Honey, jeez.",1,2
Marlene Griggs-Knope,You know how busy I am.,1,2
Leslie Knope,I know.,1,2
Leslie Knope,I know.,1,2
Leslie Knope,I know!,1,2
Leslie Knope,That's why I fake invited you.,1,2
Marlene Griggs-Knope,I'll try to be there.,1,2
Leslie Knope,Okay.,1,2
Leslie Knope,"So, everybody's here.",1,2
Leslie Knope,Let's get started.,1,2
Mark Brendanawicz,Ow!,1,2
Leslie Knope,Sorry.,1,2
Leslie Knope,"Oh, I'm sorry.",1,2
Leslie Knope,Metal.,1,2
Leslie Knope,Sorry.,1,2
Marlene Griggs-Knope,That's really loud.,1,2
Leslie Knope,Subcommittee members.,1,2
Leslie Knope,Are we prepared for tomorrow night?,1,2
Leslie Knope,"Tom, have you booked the hall yet?",1,2
Tom Haverford,"Yes, sir.",1,2
Leslie Knope,"Ann, did you clear your schedule?",1,2
Ann Perkins,I did.,1,2
Ann Perkins,I changed my shift.,1,2
Leslie Knope,Okay.,1,2
Mark Brendanawicz,"Leslie, I just have to say, I think you might be taking this to the public a little bit too soon.",1,2
Mark Brendanawicz,It literally doesn't matter what you propose to the public.,1,2
Mark Brendanawicz,"They might call for a vote, and if they vote you down, then you're done.",1,2
Leslie Knope,I don't care if there's gonna be a vote.,1,2
Leslie Knope,"I have a secret weapon, canvassing.",1,2
